team,score
submission_MahaTrabelsi,0.4713
submission_samuelmatia,0.9840
submission_sargam,0.4309
submission_aissiouikram,0.8266
submission_ikram_elhouiti,0.7426
submission_emmakowu,0.9606
submission_faranbutt,0.7606
submission_gururgamgam,0.9957
submission_idrees,0.4447
submission_muhammadibrahimisah,0.7628
submission_murad,0.9330
submission_peguy,0.7266
submission_sanae,0.9872
submission_tuga,0.4074
